"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
" йокат в ,иинадартс монселет мокат в";"ексот";"в таком телесном страдании, в такой";"тоске";" ";"душевной, в таком ужасе, что они";"митрополит Антоний (Блум). Панихида по морякам, погибшим на подводной лодке в Баренцевом море (2000)";"митрополит Антоний (Блум)";"1914";"Панихида по морякам, погибшим на подводной лодке в Баренцевом море";"2000";"нехудожественная | церковно-богословская";"проповедь";"религия";"Антоний (Блум), митрополит Сурожский. Труды";"2002";"книга";"омонимия снята";"Будем молиться сейчас о том, чтобы те, кто умер в таком телесном страдании, в такой тоске душевной, в таком ужасе, что они никогда больше не увидят самых родных и любимых, чтобы они теперь успокоились вечным покоем и могли бы вознести свои молитвы о том, чтобы те, кого они оставили полными боли, горечи, нашли бы утешение, непостижимое для нас, но которое только Господь может дать."
" то алилукс и акабос яашьлоб оге";"иксот";"его большая собака и скулила от";"тоски";". ";"";"В. Н. Комаров. Тайны пространства и времени (1995-2000)";"В. Н. Комаров";"";"Тайны пространства и времени";"1995 | 1996 | 1997 | 1998 | 1999 | 2000";"нехудожественная | учебно-научная";"монография";"наука и технологии | физика";"Комаров В.Н. Тайны пространства и времени";"2000";"книга";"омонимия снята";"Рядом лежала его большая собака и скулила от тоски."
" йокснатируп с аннА ьчод яаннелпусан ― умесв";"йоксот";"всему ― насупленная дочь Анна с пуританской";"тоской";" ";"в душе и с глубоким отчаянием";"Людмила Улицкая. Пиковая дама (1995-2000)";"Людмила Улицкая";"1943";"Пиковая дама";"1995 | 1996 | 1997 | 1998 | 1999 | 2000";"художественная";"повесть";"";"Улицкая Л. Пиковая дама";"2001";"книга";"омонимия снята";"Последний успех мужа совпал с новым взлётом Мур ― целой обоймой ярких успехов на смежной ниве: бурный роман с тайным генералом, держащим весь литературный процесс в своём волосатом кулаке, шашни с мужниным секретарём, с мужем любимой подруги, каким-то биологическим академиком, и ещё, и ещё, и свидетельницей всему ― насупленная дочь Анна с пуританской тоской в душе и с глубоким отчаянием, испытываемым из-за невозможности любить и неспособности не любить эту тонкую, нечеловечески красивую, всегда театрально разодетую женщину, которая приходится родной матерью."
" и еьнеримс ьнзиж в тисонв И";"уксот";"И вносит в жизнь смиренье и";"тоску";", ― ";"";"Виктор Астафьев. Затеси (1999) // «Новый Мир», 2000";"Виктор Астафьев";"1924";"Затеси";"1999";"нехудожественная | публицистика";"мемуары";"";"«Новый Мир»";"2000";"журнал";"омонимия снята";"И вносит в жизнь смиренье и тоску, ―"
" литевсыв ,могротсов миксечитэоп йыннечавхо ,ун ,миксйудак";"уксот";"кадуйским, ну, охваченный поэтическим восторгом, высветил";"тоску";", ";"бесприютность свою, корыто облагородил, и Вологду";"Виктор Астафьев. Затеси (1999) // «Новый Мир», 2000";"Виктор Астафьев";"1924";"Затеси";"1999";"нехудожественная | публицистика";"мемуары";"";"«Новый Мир»";"2000";"журнал";"омонимия снята";"Простим поэту, что вместо злобной бабы Нинки трогательную Катю вставил, это имя хорошо тут рифмуется со словом ""катер"", возможно, он и любил это тёплое имя, ну, восславил бурдамагу, назвав её вином, да ещё и кадуйским, ну, охваченный поэтическим восторгом, высветил тоску, бесприютность свою, корыто облагородил, и Вологду-реку восславил, и ещё, и ещё присочинил высокое, пронзив в очередной раз сердце русское, усталое и затверделое любовью к своей ""тихой Родине""."
"-ьлачеп яакаК ";"аксот";"Какая печаль-";"тоска";" ";"тебя съедает?";"Виктор Астафьев. Затеси (1999) // «Новый Мир», 2000";"Виктор Астафьев";"1924";"Затеси";"1999";"нехудожественная | публицистика";"мемуары";"";"«Новый Мир»";"2000";"журнал";"омонимия снята";"Что же там, в душе-то твоей, делается?  Какая печаль-тоска тебя съедает?  ― И, помолчав за притихшим столом, спросил по-отечески ласково: ― Может, я смогу тебе чем-то помочь?"
" ,енго моннелдем ан юумеарогс лепеп в";"уксот";"в пепел сгораемую на медленном огне,";"тоску";", ";"раскаяние, любовь неугасимую, презрение людское, ненависть";"Виктор Астафьев. Затеси (1999) // «Новый Мир», 2000";"Виктор Астафьев";"1924";"Затеси";"1999";"нехудожественная | публицистика";"мемуары";"";"«Новый Мир»";"2000";"журнал";"омонимия снята";"В бремени своём носящая непомерно тяжкий груз, душу, в пепел сгораемую на медленном огне, тоску, раскаяние, любовь неугасимую, презрение людское, ненависть и много-много ещё такого, чего никому не дано пережить и осознать."
" йонровтирп с фарготоФ ";"юоксот";"Фотограф с притворной";"тоскою";", ";"";"Виктор Астафьев. Затеси (1999) // «Новый Мир», 2000";"Виктор Астафьев";"1924";"Затеси";"1999";"нехудожественная | публицистика";"мемуары";"";"«Новый Мир»";"2000";"журнал";"омонимия снята";"Девчата с железным венком.  Фотограф с притворной тоскою,  На скорую руку завком"
" то ,тов от-адгоТ ";"иксот";"Тогда-то вот, от";"тоски";"-";"печали и несносной сырой погоды, появилась";"Виктор Астафьев. Затеси (1999) // «Новый Мир», 2000";"Виктор Астафьев";"1924";"Затеси";"1999";"нехудожественная | публицистика";"мемуары";"";"«Новый Мир»";"2000";"журнал";"омонимия снята";"Тогда-то вот, от тоски-печали и несносной сырой погоды, появилась у меня мысль вернуться на Родину."
" йынлоП ";"иксот";"Полный";"тоски";", ";"разочарования и светлой надежды, встаёт он";"Алексей Слаповский. Не сбылась моя мечта (1999)";"Алексей Слаповский";"1957";"Не сбылась моя мечта";"1999";"художественная";"рассказ";"";"Проза новой России: В 4 т. Т. 3";"2003";"книга";"омонимия снята";"Полный тоски, разочарования и светлой надежды, встаёт он из-за стола, с шумом отодвинув стул и идёт смотреть в тёмное окно, думая о беспросветном прошлом и загадочном грядущем."
" ";"аксоТ";"";"Тоска";" ";"по жизни, ещё не прожитой, но";"Анатолий Азольский. Лопушок // «Новый Мир», 1998";"Анатолий Азольский";"1930";"Лопушок";"1998";"художественная";"роман";"";"«Новый Мир»";"1998";"журнал";"омонимия снята";"Тоска по жизни, ещё не прожитой, но уже оконченной, была временами такой острой, что сердце переставало стучать и в ушах покалывало."
" в гурдв олремаз и иинемуоден мокилев";"ексот";"великом недоумении и замерло вдруг в";"тоске";". ";"";"Анатолий Азольский. Лопушок // «Новый Мир», 1998";"Анатолий Азольский";"1930";"Лопушок";"1998";"художественная";"роман";"";"«Новый Мир»";"1998";"журнал";"омонимия снята";"Сердце его заколотилось в великом недоумении и замерло вдруг в тоске."
" и ― !дёрепв !дёрепв ыботч ,мопоко дан";"уксот";"над окопом, чтобы вперёд! вперёд! ― и";"тоску";" ";"бессилия; в двадцатидевятиметровой комнате могли дуть";"Анатолий Азольский. Лопушок // «Новый Мир», 1998";"Анатолий Азольский";"1930";"Лопушок";"1998";"художественная";"роман";"";"«Новый Мир»";"1998";"журнал";"омонимия снята";"Книги, когда-то прочитанные или просмотренные Сургеевым, пробуждались от спячки нежнейшим прикосновением руки, рождая эффекты ― звуки, запахи, картины, ознобы и жары, остервенение и умиротворение, взлёт тела над окопом, чтобы вперёд! вперёд! ― и тоску бессилия; в двадцатидевятиметровой комнате могли дуть ветры аравийских пустынь, греметь громы из туч, падавших с Пиреней и растекавшихся по долинам Андалузии, порою снежные заносы не позволяли Андрею Николаевичу дойти до нужной ему книги, но и на расстоянии научился он извлекать из книжных переплётов абзацы и главы, излучающие мысль."
" йондохсызеб в олуноту и оленметоп ьтяпо";"ексот";"опять потемнело и утонуло в безысходной";"тоске";". ";"";"В. Г. Распутин. Новая профессия (1998)";"В. Г. Распутин";"1937";"Новая профессия";"1998";"художественная";"повесть";"";"Проза новой России: В 4 т. Т. 3";"2003";"книга";"омонимия снята";"Въехав сюда два года назад, Алёша и побелил, и покрасил, и наклеил на прокопчённые стены светленькие обои с нежным узором, на котором в ряды пузатеньких ваз заглядывают слева и справа изгибающиеся розовые цветочки, а уже через полгода всё опять потемнело и утонуло в безысходной тоске."
" тичым а ,тировог ен ,теН ";"юоксот";"Нет, не говорит, а мычит";"тоскою";" ";"трехмесячных курсов младших лейтенантов: стрельбище, строевые";"Анатолий Азольский. Облдрамтеатр // «Новый Мир», 1997";"Анатолий Азольский";"1930";"Облдрамтеатр";"1997";"художественная";"повесть";"";"«Новый Мир»";"1997";"журнал";"омонимия снята";"Нет, не говорит, а мычит тоскою трехмесячных курсов младших лейтенантов: стрельбище, строевые занятия до упаду, сказочно злобный старшина роты…"
" с ,теахыдзв олежят вонефраП щиравоТ ";"йоксот";"Товарищ Парфенов тяжело вздыхает, с";"тоской";" ";"смотрит на портрет Ильича.";"Екатерина Боярина. Подъем! // «Столица», 1997.01.06";"Екатерина Боярина";"";"Подъем!";"1997";"нехудожественная | публицистика";"статья";"политика и общественная жизнь";"«Столица»";"1997.01.06";"журнал";"омонимия снята";"Товарищ Парфенов тяжело вздыхает, с тоской смотрит на портрет Ильича."
" тиног ""яортсчердовдоП"" акиньлачанмаз и ,ястирущ ордум";"уксот";"мудро щурится, и замначальника ""Подводречстроя"" гонит";"тоску";" ";"прочь.";"Екатерина Боярина. Подъем! // «Столица», 1997.01.06";"Екатерина Боярина";"";"Подъем!";"1997";"нехудожественная | публицистика";"статья";"политика и общественная жизнь";"«Столица»";"1997.01.06";"журнал";"омонимия снята";"Ильич мудро щурится, и замначальника ""Подводречстроя"" гонит тоску прочь."
" оньлетивтсйед тоВ ";"аксот";"Вот действительно";"тоска";" ";"была, когда мы с Олесей Поташинской";"Катя Метелица. Фруска // «Столица», 1997.06.17";"Катя Метелица";"";"Фруска";"1997";"нехудожественная | публицистика";"статья";"частная жизнь";"«Столица»";"1997.06.17";"журнал";"омонимия снята";"Вот действительно тоска была, когда мы с Олесей Поташинской жили в мастерской у одного художника."
" с ьрепет и еонтянопен отчен алеъс";"юоксот";"съела нечто непонятное и теперь с";"тоскою";" ";"думаешь, что-то будет…";"Вячеслав Пьецух. Шкаф (1997)";"Вячеслав Пьецух";"1946";"Шкаф";"1997";"художественная";"рассказ";"";"Проза новой России: В 4 т. Т. 3";"2003";"книга";"омонимия снята";"Томно как-то на душе, не по-хорошему ожидательно, как будто съела нечто непонятное и теперь с тоскою думаешь, что-то будет…"
" он ,кат ,онченок ,отэ ёсВ ";"аксот";"Всё это, конечно, так, но";"тоска";", ";"тоска…";"Вячеслав Пьецух. Шкаф (1997)";"Вячеслав Пьецух";"1946";"Шкаф";"1997";"художественная";"рассказ";"";"Проза новой России: В 4 т. Т. 3";"2003";"книга";"омонимия снята";"Всё это, конечно, так, но тоска, тоска…"
" ,аксот он ,кат ,онченок ,отэ ёсВ";"аксот";"Всё это, конечно, так, но тоска,";"тоска";"… ";"";"Вячеслав Пьецух. Шкаф (1997)";"Вячеслав Пьецух";"1946";"Шкаф";"1997";"художественная";"рассказ";"";"Проза новой России: В 4 т. Т. 3";"2003";"книга";"омонимия снята";"Всё это, конечно, так, но тоска, тоска…"
""" в леп адгот сатсоК едг ,""недраГ-тневоК";"ексоТ";"Ковент-Гарден"", где Костас тогда пел в """;"Тоске";""" ";"вместе с Грейс Бамбри.";"И. К. Архипова. Музыка жизни (1996)";"И. К. Архипова";"1925";"Музыка жизни";"1996";"нехудожественная | публицистика";"мемуары";"";"Ирина Архипова. Музыка жизни";"1998";"книга";"омонимия снята";"Но его автограф ― не московского происхождения, а лондонского: я попросила его расписаться на память во время моих гастролей в ""Ковент-Гарден"", где Костас тогда пел в ""Тоске"" вместе с Грейс Бамбри."
" я тяъбо авонС ";"йоксот";"Снова объят я";"тоской";". ";"";"И. К. Архипова. Музыка жизни (1996)";"И. К. Архипова";"1925";"Музыка жизни";"1996";"нехудожественная | публицистика";"мемуары";"";"Ирина Архипова. Музыка жизни";"1998";"книга";"омонимия снята";"Снова, как прежде, один,  Снова объят я тоской.  Смотрится тополь в окно,"
" ьсилавилаван коночвед ан итсонтевсорпен и ытохуд";"аксот";"духоты и непросветности на девчонок наваливались";"тоска";" ";"и досада.";"Виктор Астафьев. Обертон (1995-1996)";"Виктор Астафьев";"1924";"Обертон";"1995 | 1996";"художественная";"повесть";"";"Астафьев В. Обертон.";"1997";"книга";"омонимия снята";"От духоты и непросветности на девчонок наваливались тоска и досада."
" йоминсяъзиен йот с ацивепонсеп алунходыв ― ,""акниторис";"йоксот";"сиротинка"", ― выдохнула песнопевица с той неизъяснимой";"тоской";", ";"коя свойственна лишь давно и много";"Виктор Астафьев. Обертон (1995-1996)";"Виктор Астафьев";"1924";"Обертон";"1995 | 1996";"художественная";"повесть";"";"Астафьев В. Обертон.";"1997";"книга";"омонимия снята";"""Растёт камышинка, горька сиротинка"", ― выдохнула песнопевица с той неизъяснимой тоской, коя свойственна лишь давно и много страдающей женщине да птицам, в чужедальние страны отлетающим осенней порой."
" йончев йокснеж йот о ьтадев от";"ексот";"то ведать о той женской вечной";"тоске";" ";"и страдании вечном?";"Виктор Астафьев. Обертон (1995-1996)";"Виктор Астафьев";"1924";"Обертон";"1995 | 1996";"художественная";"повесть";"";"Астафьев В. Обертон.";"1997";"книга";"омонимия снята";"Откуда же Любе-то ведать о той женской вечной тоске и страдании вечном?"
" ядован ,инсеп еыньлащорп солог ьсев ов";"уксот";"во весь голос прощальные песни, наводя";"тоску";" ";"и на себя, и на лошадей";"Виктор Астафьев. Обертон (1995-1996)";"Виктор Астафьев";"1924";"Обертон";"1995 | 1996";"художественная";"повесть";"";"Астафьев В. Обертон.";"1997";"книга";"омонимия снята";"Самоистязание, только оно могло помочь моему горю ― я подменял дежурных на конюшне, возил с полей сено, солому, ходил пилить и колоть дрова в хату, где жили Тамара и Соня, чистил конюшню, а в вечернюю пору пел во весь голос прощальные песни, наводя тоску и на себя, и на лошадей; читал книги при свете фонаря и не ведал, какие козни творятся вокруг, какое давление оказывают на девчоночье поголовье тайные силы."
" окьлокС ";"иксот";"Сколько";"тоски";" ";"и страданий вынесло моё молодое сердце";"Виктор Астафьев. Обертон (1995-1996)";"Виктор Астафьев";"1924";"Обертон";"1995 | 1996";"художественная";"повесть";"";"Астафьев В. Обертон.";"1997";"книга";"омонимия снята";"Сколько тоски и страданий вынесло моё молодое сердце, когда я, сидя на копне соломы с зажатой меж колен винтовкой, слушал доносящуюся из клуба музыку, сердце рвущие вальсы, фокстроты и танго."
" янсеП ― ";"иксот";"― Песня";"тоски";" ";"по родине.";"Виктор Астафьев. Обертон (1995-1996)";"Виктор Астафьев";"1924";"Обертон";"1995 | 1996";"художественная";"повесть";"";"Астафьев В. Обертон.";"1997";"книга";"омонимия снята";"Вадим Петрович и Лариса всячески избегали опасных тем в разговоре, но невозможно легко и быстро излечить больную психику недавних детей, срастить изломанные судьбы.  ― Песня тоски по родине.  Автор неизвестен, ― объявила Изабелла, будто со сцены, и, завывая в конце фраз, речитативом начала выпевать свою боль и ненависть, стуча кулаком по столу:"
" яантевсорпсеб гуден йынняотсоп как жу ьрепет";"аксот";"теперь уж как постоянный недуг беспросветная";"тоска";". ";"";"Виктор Астафьев. Обертон (1995-1996)";"Виктор Астафьев";"1924";"Обертон";"1995 | 1996";"художественная";"повесть";"";"Астафьев В. Обертон.";"1997";"книга";"омонимия снята";"Письмо от Любы, дурацкий разговор с товарищем Кукиным всё же задели меня за живое, заскребло ретивое, навалилась на меня теперь уж как постоянный недуг беспросветная тоска."
" аледалво ьвонв йешоню как ,лавовтсвучоп ежу";"аксот";"уже почувствовал, как юношей вновь овладела";"тоска";". ";"";"Владимир Маканин. Кавказский пленный (1995)";"Владимир Маканин";"1937";"Кавказский пленный";"1995";"художественная";"рассказ";"";"Проза новой России: В 4 т. Т. 2";"2003";"книга";"омонимия снята";"Вот оба они впали в дрёму (доверяя), а вот Рубахин уже почувствовал, как юношей вновь овладела тоска."
" ";"иксоТ";"";"Тоски";" ";"в глазах не было.";"Владимир Маканин. Кавказский пленный (1995)";"Владимир Маканин";"1937";"Кавказский пленный";"1995";"художественная";"рассказ";"";"Проза новой России: В 4 т. Т. 2";"2003";"книга";"омонимия снята";"Он и вообще держался посмелее.  Тоски в глазах не было.  Он, несомненно, уже знал, что Рубахин смущен наметившимися их отношениями."
" с ,йоджедан с ,меиналеж с он";"йоксот";"но с желанием, с надеждой, с";"тоской";" ";"по ней.";"митрополит Антоний (Блум). О смерти (1995)";"митрополит Антоний (Блум)";"1914";"О смерти";"1995";"нехудожественная | церковно-богословская";"беседа";"религия";"Антоний (Блум), митрополит Сурожский. Быть христианином...";"2000";"книга";"омонимия снята";"У меня отношение к смерти своеобразное, и мне хочется объяснить, почему я к смерти отношусь не только спокойно, но с желанием, с надеждой, с тоской по ней."
" с ,вотокёлК лазакс ― ,нидо хесв ялд";"йоксот";"для всех один, ― сказал Клёкотов, с";"тоской";" ";"глядя на Печенегина и думая, какой";"Алексей Слаповский. Гибель гитариста (1994-1995)";"Алексей Слаповский";"1957";"Гибель гитариста";"1994 | 1995";"художественная";"повесть";"";"Слаповский А. День денег";"2000";"книга";"омонимия снята";"Порядок для всех один, ― сказал Клёкотов, с тоской глядя на Печенегина и думая, какой интерес для него может быть не спать по ночам, сидеть с кем-то там, болтать разговоры."
" то ― отэ отч ,иляноп иревЗ ";"иксот";"Звери поняли, что это ― от";"тоски";" ";"по свободе.";"Василь Быков. Лесное счастье (1985-1995)";"Василь Быков";"1924";"Лесное счастье";"1985 | 1986 | 1987 | 1988 | 1989 | 1990 | 1991 | 1992 | 1993 | 1994 | 1995";"художественная";"рассказ";"";"Василь Быков. Бедные люди";"2002";"книга";"омонимия снята";"Звери поняли, что это ― от тоски по свободе."
" литущо гурдв и еинахыд итсевереп ллох";"уксот";"холл перевести дыхание и вдруг ощутил";"тоску";". ";"";"Ирина Муравьева. Мещанин во дворянстве (1994)";"Ирина Муравьева";"1949";"Мещанин во дворянстве";"1994";"художественная";"повесть";"";"Муравьева И. Филемон и Бавкида";"2000";"книга";"омонимия снята";"А потом, в разгар всеобщего веселья, вышел в холл перевести дыхание и вдруг ощутил тоску."
" ";"аксоТ";"";"Тоска";" ";"усилилась, не отпустила его, и, подчинившись";"Ирина Муравьева. Мещанин во дворянстве (1994)";"Ирина Муравьева";"1949";"Мещанин во дворянстве";"1994";"художественная";"повесть";"";"Муравьева И. Филемон и Бавкида";"2000";"книга";"омонимия снята";"Тоска усилилась, не отпустила его, и, подчинившись ей, он тихо вернулся в зал, сел рядом с моим иронически наблюдавшим генеральское веселье отцом и шёпотом сказал ему по-немецки: ""Паршивая штука ― старость."
" йортсо йомоканз оге олавилан ,олет ёсв";"йоксот";"всё тело, наливало его знакомой острой";"тоской";". ";"";"Ирина Муравьева. Мещанин во дворянстве (1994)";"Ирина Муравьева";"1949";"Мещанин во дворянстве";"1994";"художественная";"повесть";"";"Муравьева И. Филемон и Бавкида";"2000";"книга";"омонимия снята";"Потом желание увидеть эту женщину и прижать её к себе заполняло всё тело, наливало его знакомой острой тоской."
" и асажу еынлоп ,еыннёлапсоВ ";"иксот";"Воспалённые, полные ужаса и";"тоски";" ";"глаза.";"Сергей Юрский. Бумажник Хофманна (1993)";"Сергей Юрский";"1935";"Бумажник Хофманна";"1993";"художественная";"рассказ";"";"Проза новой России: В 4 т.";"2003";"книга";"омонимия снята";"Эти всё более обозначающиеся мешочки под нижней челюстью, эта непробиваемая дряблость кожи на шее.  Воспалённые, полные ужаса и тоски глаза.  Да, сон был ужасен."
" ;ьтыб ьтатсереп ьтсе от ,йобос ьтыб";"аксот";"быть собой, то есть перестать быть;";"тоска";" ";"по новому ― это одна из самых";"Виктор Пелевин. Ника (1992)";"Виктор Пелевин";"1962";"Ника";"1992";"художественная";"рассказ";"";"Виктор Пелевин. Собрание сочинений в 3-х томах. Т. 3";"2001";"книга";"омонимия снята";"Уже потом я понял, что мне хотелось просто перестать быть собой, то есть перестать быть; тоска по новому ― это одна из самых обычных форм, которые приобретает в нашей стране суицидальный комплекс."
" с ,икур йен к луняторп и";"йоксот";"и протянул к ней руки, с";"тоской";" ";"чувствуя, до чего я похож на";"Виктор Пелевин. Ника (1992)";"Виктор Пелевин";"1962";"Ника";"1992";"художественная";"рассказ";"";"Виктор Пелевин. Собрание сочинений в 3-х томах. Т. 3";"2001";"книга";"омонимия снята";"― Ника, прости меня, а? ― стараясь не обращать на него внимания, прошептал я и протянул к ней руки, с тоской чувствуя, до чего я похож на молодого Чернышевского, по нужде заскочившего в петербургский подъезд и с жестом братства поднимающегося с корточек навстречу влетевшей с мороза девушке; меня несколько утешало, что такое сравнение вряд ли придёт в голову Нике или уже оскалившему золотые клыки грузину за ветровым стеклом."
" с вородиС и ,ьсалунребо авонс авеьбороВ";"йоксот";"Воробьева снова обернулась, и Сидоров с";"тоской";" ";"подумал, что придётся ему теперь день-деньской";"Татьяна Петросян. Записка // «Трамвай», 1990";"Татьяна Петросян";"";"Записка";"1990";"художественная";"рассказ";"";"«Трамвай»";"1990";"журнал";"омонимия снята";"Тут Воробьева снова обернулась, и Сидоров с тоской подумал, что придётся ему теперь день-деньской печь для неё сладкие пирожки и носить её в школу на шее, чтобы оправдать такую внезапную и безумную любовь."
" лажарыв ,яавыдагу онтумс ,я имаволс имитэ";"уксот";"этими словами я, смутно угадывая, выражал";"тоску";" ";"женщин по новому стойкому типу непьющего";"Фазиль Искандер. Путь из варяг в греки (1990)";"Фазиль Искандер";"1929";"Путь из варяг в греки";"1990";"художественная";"рассказ";"";"Собр. соч.: В 6 т. - М., 1997";"1997";"книга";"омонимия снята";"Возможно, этими словами я, смутно угадывая, выражал тоску женщин по новому стойкому типу непьющего мужчины, который тогда уже пытались выработать, но, к сожалению, до сих пор ещё не выработали, во всяком случае недоработали, хотя опыты продолжаются."
" йенделсоп с еж ёсв И ";"йоксот";"И всё же с последней";"тоской";" ";"царевич увидел просторное, блёклое небо, где";"Юрий Давыдов. Синие тюльпаны (1988-1989)";"Юрий Давыдов";"1924";"Синие тюльпаны";"1988 | 1989";"художественная";"роман";"";"Юрий Давыдов. Жемчужины Филда";"1997";"книга";"омонимия снята";"И всё же с последней тоской царевич увидел просторное, блёклое небо, где ласточки, ласточки, ласточки."
" яантёчтозеб афроднекнеБ аламинбо ,окандо ,ечныН ";"аксот";"Нынче, однако, обнимала Бенкендорфа безотчётная";"тоска";". ";"";"Юрий Давыдов. Синие тюльпаны (1988-1989)";"Юрий Давыдов";"1924";"Синие тюльпаны";"1988 | 1989";"художественная";"роман";"";"Юрий Давыдов. Жемчужины Филда";"1997";"книга";"омонимия снята";"В этот раз он побывал в Амстердаме и как бы взбодрился своей молодой славой: он освобождал Голландию от французских оккупантов.  Нынче, однако, обнимала Бенкендорфа безотчётная тоска.  Пароход ""Геркулес"" шёл в Кронштадт, кочегары держали пар на марке, слышались, как из-под подушки, мерные удары машины."
" яантёчтозеб атэ отч ,огот лаванзос ен";"аксот";"не сознавал того, что эта безотчётная";"тоска";" ";"называется смертной.";"Юрий Давыдов. Синие тюльпаны (1988-1989)";"Юрий Давыдов";"1924";"Синие тюльпаны";"1988 | 1989";"художественная";"роман";"";"Юрий Давыдов. Жемчужины Филда";"1997";"книга";"омонимия снята";"Его минуты были сочтены, но этого он не сознавал, как и не сознавал того, что эта безотчётная тоска называется смертной."
" и ьтсург андо ,абёчу отэ евзар";"аксот";"разве это учёба, одна грусть и";"тоска";" ";"безысходная!"" ― приговаривал он, ходя из угла";"Даниил Гранин. Зубр (1987)";"Даниил Гранин";"1919";"Зубр";"1987";"художественная";"повесть";"";"Гранин Д.А. Зубр: Повесть";"1987";"книга";"омонимия снята";"Фому между тем бранил нещадно за школьные промахи. ""Глуп, туп, неразвит, разве это учёба, одна грусть и тоска безысходная!"" ― приговаривал он, ходя из угла в угол кабинета."
" йокакин лащущо ен но ,иквориднамок ,аксипереп";"иксот";"переписка, командировки, он не ощущал никакой";"тоски";". ";"";"Даниил Гранин. Зубр (1987)";"Даниил Гранин";"1919";"Зубр";"1987";"художественная";"повесть";"";"Гранин Д.А. Зубр: Повесть";"1987";"книга";"омонимия снята";"Пока из Москвы приезжали Вавилов, Вернадский, тот же Кольцов и другие, пока существовало свободное общение, переписка, командировки, он не ощущал никакой тоски."
" ,еинепретен еонневтсбос ил от ,умзинагро оге";"аксот";"его организму, то ли собственное нетерпение,";"тоска";" ";"по работе подгоняли ― силы прибывали быстро.";"Даниил Гранин. Зубр (1987)";"Даниил Гранин";"1919";"Зубр";"1987";"художественная";"повесть";"";"Гранин Д.А. Зубр: Повесть";"1987";"книга";"омонимия снята";"Врачи определили ему месяцы для поправки, но то ли природа Южного Урала как нельзя лучше пришлась его организму, то ли собственное нетерпение, тоска по работе подгоняли ― силы прибывали быстро."
"-ярог С ";"иксот";"С горя-";"тоски";" ";"попивать начала наша Зиночка.";"И. Грекова. Перелом (1987)";"И. Грекова";"1907";"Перелом";"1987";"художественная";"повесть";"";"На испытаниях";"1990";"книга";"омонимия снята";"С горя-тоски попивать начала наша Зиночка."
" и итсолатсу оге евтснартсорп монришбо в";"иксот";"в обширном пространстве его усталости и";"тоски";". ";"";"Сергей Довлатов. Дорога в новую квартиру (1987)";"Сергей Довлатов";"1941";"Дорога в новую квартиру";"1987";"художественная";"рассказ";"";"Собрание прозы в 3 т. Т.2";"1993";"книга";"омонимия снята";"Но снова дымок беспокойства легко растаял в обширном пространстве его усталости и тоски."
" алашунв ,ыцилу имяинежарто имыртсёп с ,яакдалг";"уксот";"гладкая, с пёстрыми отражениями улицы, внушала";"тоску";". ";"";"Сергей Довлатов. Дорога в новую квартиру (1987)";"Сергей Довлатов";"1941";"Дорога в новую квартиру";"1987";"художественная";"рассказ";"";"Собрание прозы в 3 т. Т.2";"1993";"книга";"омонимия снята";"Даже мебель, импортная, гладкая, с пёстрыми отражениями улицы, внушала тоску."
" с ламуд и )лавикаксдоп охолп но";"йоксот";"он плохо подскакивал) и думал с";"тоской";" ";"о том, как удручающе много у";"Эдуард Лимонов. У нас была Великая Эпоха (1987)";"Эдуард Лимонов";"1943";"У нас была Великая Эпоха";"1987";"художественная";"роман";"";"Собр. соч.: В 3 т.";"1998";"книга";"омонимия снята";"Ребёнок сжимал мячик из очень плохой, вязкой и тяжёлой резины (он плохо подскакивал) и думал с тоской о том, как удручающе много у взрослых понятий и слов."
" яантремс яакат аливад янем а ,имацил";"аксот";"лицами, а меня давила такая смертная";"тоска";", ";"что я дышать не могла и";"Марина Палей. Поминовение (1987)";"Марина Палей";"1955";"Поминовение";"1987";"художественная";"повесть";"";"Палей М. Long Distance или Славянский акцент";"2000";"книга";"омонимия снята";"Старики сидели возле круглой голландской печи с напряжёнными, жалкими лицами, а меня давила такая смертная тоска, что я дышать не могла и не хотела жить."
" яащунят яантёчтозеб от-яакак он ,лёшорп хартс";"аксот";"страх прошёл, но какая-то безотчётная тянущая";"тоска";" ";"по отношению к тому углу двора";"Марина Палей. Поминовение (1987)";"Марина Палей";"1955";"Поминовение";"1987";"художественная";"повесть";"";"Палей М. Long Distance или Славянский акцент";"2000";"книга";"омонимия снята";"Потом страх прошёл, но какая-то безотчётная тянущая тоска по отношению к тому углу двора осталась навсегда, то есть до тех пор, пока Дом не оказался продан…"
